BEGINN_DATUM;BEGINN_UHRZEIT;ENDE_DATUM;ENDE_UHRZEIT;NETZREGION;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE
08.01.2015;05:00;08.01.2015;15:15;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;304;370;3118;TenneT DE;TenneT DE;Ingolstadt 4
08.01.2015;06:00;08.01.2015;10:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;675;850;2700;50Hertz;50Hertz & TenneT DE;Schkopau
08.01.2015;06:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;614;735;11060;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
08.01.2015;06:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;104;110;1870;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
08.01.2015;06:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;300;400;5405;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau 
08.01.2015;06:00;08.01.2015;08:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;85;110;170;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
08.01.2015;08:00;08.01.2015;16:00;Grenzregion RZ 50Hertz - RZ PSE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;450;500;3600;50Hertz;50Hertz & PSE;Boxberg, Jaenschwalde, Rostock
08.01.2015;09:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;103;110;1550;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn
08.01.2015;10:00;09.01.2015;00:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1293;1650;18100;50Hertz;50Hertz & TenneT DE;Boxberg, Jaenschwalde, Schkopau, Schwarze Pumpe
08.01.2015;12:00;08.01.2015;19:00;Grenzregion RZ 50Hertz - RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;244;520;1710;TransnetBW;TenneT DE;Vorarlberger Illwerke AG
08.01.2015;15:00;08.01.2015;17:00;RZ TenneT DE;Strombedingter Redispatch;Wirkleistungseinspeisung erhoehen;175;250;350;TenneT DE;TenneT DE;Statkraft KW-Pool
